CONTRIBUTING_FACTORS,COUNT
Unspecified,21001
Driver Inattention/Distraction,16518
Failure to Yield Right-of-Way,7082
Following Too Closely,4245
Passing or Lane Usage Improper,2968
Passing Too Closely,2430
Traffic Control Disregarded,2402
Backing Unsafely,1822
Turning Improperly,1773
Other Vehicular,1714
Unsafe Speed,1354
Unsafe Lane Changing,1107
Driver Inexperience,1055
Alcohol Involvement,821
View Obstructed/Limited,647
Reaction to Uninvolved Vehicle,628
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,578
Oversized Vehicle,480
Pavement Slippery,440
Aggressive Driving/Road Rage,397
Brakes Defective,276
Fell Asleep,181
Passenger Distraction,158
Outside Car Distraction,138
Glare,126
Obstruction/Debris,97
Illnes,87
Lost Consciousness,77
Steering Failure,77
Pavement Defective,68
Tire Failure/Inadequate,55
Failure to Keep Right,54
Drugs (illegal),50
Fatigued/Drowsy,46
Traffic Control Device Improper/Non-Working,42
Driverless/Runaway Vehicle,38
Accelerator Defective,34
Lane Marking Improper/Inadequate,32
Animals Action,26
Cell Phone (hand-Held),24
Physical Disability,18
Tinted Windows,11
Headlights Defective,9
Other Electronic Device,7
Tow Hitch Defective,7
Other Lighting Defects,6
Eating or Drinking,5
Prescription Medication,4
Vehicle Vandalism,3
Texting,3
Using On Board Navigation Device,2
Shoulders Defective/Improper,2
Cell Phone (hands-free),2
Listening/Using Headphones,2
Windshield Inadequate,1
