BOROUGH,VEHICLE_TYPE,NO_OF_INJURIES,NO_OF_DEATHS
BROOKLYN,Sedan,30670.0,80.0
QUEENS,Sedan,25928.0,96.0
BROOKLYN,Station Wagon/Sport Utility Vehicle,22536.0,101.0
QUEENS,Station Wagon/Sport Utility Vehicle,21485.0,80.0
BRONX,Sedan,14429.0,34.0
BRONX,Station Wagon/Sport Utility Vehicle,10109.0,35.0
MANHATTAN,Sedan,9106.0,46.0
MANHATTAN,Station Wagon/Sport Utility Vehicle,6862.0,36.0
STATEN ISLAND,Sedan,4106.0,14.0
MANHATTAN,Taxi,3120.0,10.0
STATEN ISLAND,Station Wagon/Sport Utility Vehicle,2276.0,14.0
BROOKLYN,Bike,1948.0,2.0
BROOKLYN,Taxi,1915.0,2.0
MANHATTAN,Bike,1640.0,8.0
BRONX,Taxi,1632.0,6.0
QUEENS,Taxi,1167.0,4.0
QUEENS,Pick-up Truck,1144.0,12.0
BROOKLYN,Pick-up Truck,1133.0,8.0
QUEENS,Bike,1053.0,2.0
BROOKLYN,Bus,1031.0,16.0
QUEENS,Bus,695.0,12.0
BROOKLYN,Motorcycle,666.0,34.0
BROOKLYN,Box Truck,569.0,16.0
QUEENS,Motorcycle,546.0,24.0
BRONX,Bike,533.0,2.0
MANHATTAN,Bus,478.0,10.0
BRONX,Pick-up Truck,477.0,2.0
MANHATTAN,Pick-up Truck,472.0,6.0
BRONX,Bus,469.0,10.0
QUEENS,Box Truck,356.0,6.0
BROOKLYN,E-Bike,337.0,5.0
BROOKLYN,Van,337.0,2.0
MANHATTAN,Box Truck,308.0,14.0
BRONX,Motorcycle,296.0,8.0
MANHATTAN,Motorcycle,296.0,6.0
BRONX,E-Bike,266.0,4.0
QUEENS,E-Bike,252.0,2.0
BRONX,Box Truck,234.0,4.0
MANHATTAN,E-Bike,233.0,0.0
BROOKLYN,E-Scooter,224.0,0.0
STATEN ISLAND,Pick-up Truck,207.0,0.0
MANHATTAN,E-Scooter,206.0,6.0
MANHATTAN,Van,195.0,2.0
BRONX,E-Scooter,161.0,0.0
BROOKLYN,Moped,160.0,0.0
QUEENS,Tractor Truck Diesel,156.0,2.0
BROOKLYN,Convertible,142.0,0.0
BRONX,Moped,130.0,2.0
QUEENS,E-Scooter,127.0,2.0
BRONX,Van,124.0,0.0
BROOKLYN,Ambulance,122.0,0.0
QUEENS,Van,118.0,4.0
BRONX,Ambulance,115.0,0.0
QUEENS,Moped,112.0,2.0
BROOKLYN,Tractor Truck Diesel,108.0,6.0
MANHATTAN,Moped,100.0,0.0
QUEENS,Convertible,95.0,0.0
BROOKLYN,Dump,93.0,2.0
BRONX,Tractor Truck Diesel,89.0,2.0
